sample,condition,path
CFA_1 ,CFA,/home/amishra1/Project_6/kallisto_results/CFA_1
CFA_2 ,CFA,/home/amishra1/Project_6/kallisto_results/CFA_2
CFA_3 ,CFA,/home/amishra1/Project_6/kallisto_results/CFA_3
EAE_Sephin1_1 ,EAE_Sephin1,/home/amishra1/Project_6/kallisto_results/EAE_Sephin1_1
EAE_Sephin1_2 ,EAE_Sephin1,/home/amishra1/Project_6/kallisto_results/EAE_Sephin1_2
EAE_Sephin1_3 ,EAE_Sephin1,/home/amishra1/Project_6/kallisto_results/EAE_Sephin1_3
EAE_Vehicle_1 ,EAE_Vehicle,/home/amishra1/Project_6/kallisto_results/EAE_Vehicle_1
EAE_Vehicle_2 ,EAE_Vehicle,/home/amishra1/Project_6/kallisto_results/EAE_Vehicle_2
EAE_Vehicle_3 ,EAE_Vehicle,/home/amishra1/Project_6/kallisto_results/EAE_Vehicle_3


